Data,Hora,Produto,ISIN,Bolsa de,Bolsa,Quantidade,Preços,,Valor local,,Valor,,Taxa de Câmbio,Custos de transação,,Total,,ID da Ordem
26-10-2020,14:33,DELTA AIR LINES INC.,US2473617023,NSY,CDED,-10,"33,0000",USD,"330,00",USD,"279,12",EUR,"1,18","-0,53",EUR,"278,59",EUR,b73ff50c-380f-412e-895f-c543d9be0527
29-09-2020,11:52,ALTRI SGPS,PTALT0AE0002,ELI,XLIS,26,"3,7100",EUR,"-96,46",EUR,"-96,46",EUR,,"-0,55",EUR,"-97,01",EUR,4bedfd85-a496-4438-b43d-1295f9c40493
10-09-2020,16:27,CVR ENERGY INC. COMMON,US12662P1084,NSY,,6,"13,3000",USD,"-79,80",USD,"-67,08",EUR,"1,19","-0,52",EUR,"-67,60",EUR,1a7174f0-afa2-49d2-95d5-e9679ed3d8b3
09-09-2020,15:30,CVR ENERGY INC. COMMON,US12662P1084,NSY,,4,"14,6500",USD,"-58,60",USD,"-49,58",EUR,"1,18","-0,51",EUR,"-50,09",EUR,a7f0f579-d3bc-4f92-822d-1a4b4d992398
07-09-2020,17:12,MARTIFER,PTMFR0AM0003,ELI,,50,"0,4300",EUR,"-21,50",EUR,"-21,50",EUR,,"-0,51",EUR,"-22,01",EUR,aaccac02-0a6e-4721-bbe3-69b7673f4812
10-08-2020,17:33,DELTA AIR LINES INC.,US2473617023,NSY,,-6,"29,0000",USD,"174,00",USD,"147,96",EUR,"1,18","-0,52",EUR,"147,44",EUR,589016c9-8dbb-49bc-bef6-ad7a0d11062e
06-08-2020,20:08,CVR ENERGY INC. COMMON,US12662P1084,NSY,,10,"16,5500",USD,"-165,50",USD,"-139,38",EUR,"1,19","-0,53",EUR,"-139,91",EUR,b990ab18-15c7-4be4-a88c-4b581d6eb8ab
27-07-2020,15:37,BANK OF AMERICA CORPOR,US0605051046,NSY,,10,"24,0000",USD,"-240,00",USD,"-204,41",EUR,"1,17","-0,53",EUR,"-204,94",EUR,5b17d1f1-fddd-4622-9589-540e2953b735
30-06-2020,17:21,ARISTA NETWORKS INC.,US0404131064,NSY,,1,"209,9600",USD,"-209,96",USD,"-186,50",EUR,"1,13","-0,50",EUR,"-187,00",EUR,96c00d21-10a7-412d-b95a-9779415a998a
25-06-2020,15:30,DELTA AIR LINES INC.,US2473617023,NSY,XNYS,5,"26,5000",USD,"-132,50",USD,"-118,12",EUR,"1,12","-0,52",EUR,"-118,64",EUR,20a25a96-2b76-472e-a09e-79bc54f7b403
24-06-2020,15:30,DELTA AIR LINES INC.,US2473617023,NSY,XNYS,11,"28,7500",USD,"-316,25",USD,"-280,61",EUR,"1,13","-0,54",EUR,"-281,15",EUR,ee940682-d8ed-4e13-a656-fd210487743a
15-06-2020,09:00,ALTRI SGPS,PTALT0AE0002,ELI,XLIS,60,"4,0380",EUR,"-242,28",EUR,"-242,28",EUR,,"-0,62",EUR,"-242,90",EUR,edb8d175-28e1-4626-9f62-4ab22b12ea51
04-06-2020,09:07,ALTRI SGPS,PTALT0AE0002,ELI,XLIS,56,"4,4200",EUR,"-247,52",EUR,"-247,52",EUR,,"-0,62",EUR,"-248,14",EUR,03d53c31-6725-49c0-884c-2253f758524a
08-05-2020,15:48,ALTRI SGPS,PTALT0AE0002,ELI,XLIS,-27,"4,7200",EUR,"127,44",EUR,"127,44",EUR,,"-0,56",EUR,"126,88",EUR,9f4f210b-9c6b-45af-bf9c-81c479d6082f
08-05-2020,15:33,PEUGEOT,FR0000121501,EPA,XPAR,-46,"13,3400",EUR,"613,64",EUR,"613,64",EUR,,"-4,31",EUR,"609,33",EUR,356bc804-fbda-4764-81d8-a417dc416eb5
20-04-2020,14:48,PEUGEOT,FR0000121501,EPA,XPAR,25,"11,5300",EUR,"-288,25",EUR,"-288,25",EUR,,"-4,14",EUR,"-292,39",EUR,8efe2b28-483f-4599-ae39-e3175d1e91f9
31-03-2020,13:17,PEUGEOT,FR0000121501,EPA,XPAR,21,"11,8800",EUR,"-249,48",EUR,"-249,48",EUR,,"-4,12",EUR,"-253,60",EUR,192769ea-e9d3-4386-8a3b-036a7b575461
31-03-2020,12:21,ALTRI SGPS,PTALT0AE0002,ELI,XLIS,27,"3,6180",EUR,"-97,69",EUR,"-97,69",EUR,,"-0,55",EUR,"-98,24",EUR,aaf7bf75-5ebc-414a-830b-04d7724ee075
